,AFC Wimbledon, Aberdeen, Accrington Stanley, Arsenal, Aston Villa, Barnsley, Barrow, Birmingham City, Blackburn Rovers, Blackpool, Bolton Wanderers, Bournemouth, Bradford City, Brentford, Brighton, Bristol City, Bristol Rovers, Burnley, Burton Albion, Cambridge United, Cardiff City, Carlisle United, Celtic, Charlton Athletic, Chelsea, Cheltenham Town, Colchester United, Coventry City, Crawley Town, Crewe Alexandra, Crystal Palace, Derby County, Doncaster Rovers, Dundee, Everton, Exeter City, Fleetwood Town, Forest Green Rovers, Fulham, Gillingham, Grimsby Town, Harrogate Town, Heart of Midlothian, Hibernian, Huddersfield Town, Hull City, Ipswich Town, Kilmarnock, Leeds United, Leicester City, Leyton Orient, Lincoln City, Liverpool, Livingston, Luton Town, MK Dons, Manchester City, Manchester United, Mansfield Town, Middlesbrough , Millwall, Morecambe, Motherwell, Newcastle United, Newport County, Northampton Town, Norwich City, Nottingham Forest, Notts County, Oxford United, Peterborough United, Plymouth Argyle, Port Vale, Portsmouth, Preston North End, Queens Park Rangers, Rangers, Reading, Ross County, Rotherham United, Salford City, Sheffield United, Sheffield Wednesday, Shrewsbury Town, Southampton, St Johnstone, St Mirren, Stevenage Borough, Stockport County, Stoke City, Sunderland, Sutton United, Swansea City, Swindon Town, Tottenham Hotspur, Tranmere Rovers, Walsall, Watford, West Bromwich Albion, West Ham, Wigan Athletic, Wolverhampton Wanderers, Wrexham, Wycombe Wanderers
AFC Wimbledon,X,,,,M40,M1,,M40,,,,,M1,,,M4,M4,,,M11,M4,,,,,M4,A12,,,,,,,,,,,M4,,,,,,,M1,,A12,,M1,,,,,,M1,,,,,,,,,,M4,M1,,,,,,,,A3,,,,M4,,,,,,,M3,,,,,,,,M4,M4,,,M40,,M40,,,M40,,
 Aberdeen,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A90,,,,,,,,,,,,,,,,,,
 Accrington Stanley,,,X,,M6,M62,,M6,M65,,,,,,,,,,,,,M6,,,,M6,,M6,,M6,,,M62,,,M5,,,,,,A59,,,,M62,,,M62,,,,,,,,,,,,,,,,,M6,,,,,,M5,M6,,M65,,,,,,,,,,,,,,,M6,,,,,,,M6,,M6,,,M6,,
 Arsenal,,,,X,,M1,,,,,,,M1,,,M4,M4,,,M11,M4,,,,,,A12,,,,,,,,,,,M4,,,,,,,M1,,A12,,M1,,,,,,M1,M1,,,,,,M6,,,M4,M1,,,,,,,,,,,,,,M1,,,,,M3,,,,,,,,M4,M4,,,,,,,,,,
 Aston Villa,M40,,M6,,X,M1,M6,,M6,M6,M6,,,M40,,M5,M5,M6,,A14,,M6,,,M40,M5,,M6,M40,M6,M40,,,,M6,M5,M6,M5,M40,,,,,,M6,,,,M1,,,,M6,,M1,,M6,M6,,,,M6,,,,M6,,,,M40,,M5,,,M6,M40,,,,M1,M6,,M1,,,,,,M6,M6,,M40,,M5,M1,M6,,M1,A4040,,M6,,,M40
 Barnsley,M1,,M62,M1,M1,X,,M1,,,M62,,,M1,M1,,,,M1,,,,,,M1,,,M1,M1,,M1,M1,,,,M5,,,M1,,,,,,,M62,,,M1,M1,,,,,M1,M1,,,M1,,,,,,,M1,,M1,M1,M1,,,,,,M1,,M1,,,M62,M1,,,,,,,,,,M1,,,M1,,M1,M1,M1,,M62,,,M1
 Barrow,,,,,M6,,X,,,,,,,,,,,,,,,M6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M6,,M6,,,M6,,
 Birmingham City,M40,,M6,,,M1,,X,M6,M6,M6,,,M40,M40,M5,M5,M6,,A14,,M6,,,M40,M5,,M6,M40,M6,M40,,,,M6,M5,M6,M5,M40,,,,,,M6,,,,M1,,,,M6,,M1,,M6,M6,,,,M6,,,,M6,,,,M40,,M5,,,M6,M40,,,,M1,M6,,,,,,,,M6,,,M40,,M5,M1,M6,,M1,,,M6,,,M40
 Blackburn Rovers,,,M65,,M6,,,M6,X,,M61,,,,,,,M65,M6,,,M6,,,,M6,,M6,,M6,,,M62,,,M5,,,,,,,,,,M62,,,M62,,,,,,,,,M61,,,,,,,,M6,,,,,,M5,M6,,,,,,,,,,,,,,,,,M6,,,,,,,M6,,M6,,M6,M6,,
 Blackpool,,,,,M6,,,M6,,X,,,,,,,,,,,,M6,,,,M6,,M6,,M6,,,,,,M5,,,,,,,,,,M62,,,,,,,,,,,,,,,,,,,,,,,,,,M5,M6,,M55,,,,,,,,,,,,,,,M6,,,,,,,M6,,M6,,,M6,,
 Bolton Wanderers,,,,,M6,M62,,M6,M61,,X,,M62,,,,,M65,,,,M6,,,,,,M6,,,,,M62,,,M5,,,,,,,,,M62,M62,,,M62,,,,,,,,,,,,,,,,,,,,,,,M5,,,M61,,,,,,M61,,,,,,,,M60,,,,,,,,M6,,M6,,,M6,,
 Bournemouth,,,,,,,,,,,,X,,M3,,,,,,,,,,,M3,,,,,,,,,,,,,,M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,,,,,,,,,,,,,,,,M3,,,,,,,,,,,,
 Bradford City,M1,,,M1,,,,,,,M62,,X,M1,M1,,,,M1,,,,,,M1,,,M1,M1,,M1,M1,,,,M5,,,M1,,,,,,,M62,,,,M1,,,,,M1,M1,M62,M62,M1,,,,,,,M1,,M1,M1,M1,,,,,,M1,,M1,,,M62,M1,,,,,,,M62,,,M1,,,M1,,,M1,,,M62,,,M1
 Brentford,,,,,M40,M1,,M40,,,,M3,M1,X,,M4,M4,,,,M4,,,,,M4,,,M25,,,,,,,M4,,M4,,,,,,,M1,,A12,,M1,,,,,,M1,M1,,,,,,,,,M4,M1,,,,,,,M40,,,,,M4,,,,,,M40,M3,,,,,M40,,,M4,M4,,,M40,,M40,,,M40,,
 Brighton,,,,,,M1,,M40,,,,,M1,,X,M4,M4,,,,M4,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,M25,,,,,,,,,,M4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Bristol City,M4,,,M4,M5,,,M5,,,,,,M4,M4,X,,,M5,M4,,,,M4,M4,M5,,M5,M4,,M4,,,,,M5,,,M4,M4,,,,,,,,,,M5,M4,,,,M4,,,,,,M4,,,,,,,,,M4,,M5,M5,,,M4,,M4,,,,,,M5,M4,,,M4,,M5,,M4,M4,M4,M4,,M5,M4,M5,M4,,M5,,M4
 Bristol Rovers,M4,,,M4,M5,,,M5,,,,,,M4,M4,,X,,M5,M4,M4,,,M4,M4,M5,,M5,M4,,M4,,,,,M5,,,M4,M4,,,,,,,,,,M5,M4,,,,M4,,,,,,M4,,,,M4,,,,,M4,,M5,M5,,,M4,,M4,,,,,,M5,M4,,,M4,,M5,,M4,M4,M4,M4,,M5,M4,M5,M4,,M5,,M4
 Burnley,,,,,M6,,,M6,M65,,M65,,,,,,,X,,,,M6,,,,,,,,,,,M62,,,M5,,,,,,,,,,M62,,,M62,,,,,,,,,,,,,,,,,,,,,,,M5,,,M65,,,,,,,,,,,,,,,,,,,,,,M6,,M6,,,M6,,
 Burton Albion,,,,,,M1,,,M6,,,,M1,,,M5,M5,,X,A14,,,,M1,M1,,,,M1,,M1,,,,,M5,M6,,M1,M1,,,,,M1,,,,M1,,M1,,,,M1,M1,,,,,M1,M6,,,,M1,,,,,,M5,,,M6,M1,,,,,,,,,,,,M1,,,,M1,,,M1,,,M1,,M1,M6,,,M40
 Cambridge United,M11,,,M11,A14,,,A14,,,,,,,,M4,M4,,A14,X,,,,,,,A14,A14,,,,A14,A1,,,M5,M6,,,,,,,,,,A14,,,A14,,,,,,,,,,,,M6,,,,,,,,,,,,,M6,,,,,,,,,,,,,,,,,,,,,,A14,,A14,,,A14,,
 Cardiff City,M4,,,M4,,,,,,,,,,M4,M4,,M4,,,,X,,,M4,M4,,M4,,M4,,M4,,,,,M5,,M4,M4,M4,,,,,,,M4,,,,M4,,,,M4,M4,,,,,M4,,,,M4,M4,,,,M4,,,,M4,,M4,,M4,,,,,,,M4,,,M4,,,,M4,M4,M4,M4,,,M4,,M4,,,,M4
 Carlisle United,,,M6,,M6,,M6,M6,M6,M6,M6,,,,,,,M6,,,,X,A74(M),,,,,,,M6,,,,,M6,,M6,,,,,,,,M6,,,,,,,,M6,A74(M),,,M6,M6,,A66,,M6,A74(M),,,,,,,,,,M6,,M6,,A74(M),,,,M6,,,,,,,,M6,M6,,,,,,M6,,,,,M6,,M6,
 Celtic,,,,,,,,,,,,,,,,,,,,,,A74(M),X,,,,,,,,,,,,,,,,,,,,,,,,,M77,,,,,,,,,,,,,,,M74,,,,,,,,,,,,M6,,,,,,,,,,,,M8,,,,,,,,,,,,,,,,,
 Charlton Athletic,,,,,,,,,,,,,,,,M4,M4,,M1,,M4,,,X,,,A12,,,,,,,,,,,M4,,A2,,,,,,,A12,,,,,,,,,,,,,,,,,,M4,,,,,,M11,,,,,,,M4,,,,,,,,,,,,,,,M4,M4,,,,,,,,,,M25
 Chelsea,,,,,M40,M1,,M40,,,,M3,M1,,,M4,M4,,M1,,M4,,,,X,M4,,,,,,,,,,M4,,M4,,,,,,,M1,,,,M1,,,,,,M1,M1,,,,,,,,,M4,M1,,,,,,,,A3,,,,M4,,,,,,M40,M3,,,,,M40,,,M4,M4,,,M40,,M40,,,M40,,
 Cheltenham Town,M4,,M6,,M5,,,M5,M6,M6,,,,M4,,M5,M5,,,,,,,,M4,X,,,,,M4,,,,,M5,M6,,M4,,,,,,,,,,,,,,,,,,,,,,M4,M6,,,M5,,,,,,,M5,,,M6,,,M4,,,,,,,,,,,,,,,M4,,,,M5,,M5,,M6,,,
 Colchester United,A12,,,A12,,,,,,,,,,,,,,,,A14,M4,,,A12,,,X,,,,A12,,,,,,,,,A12,,,,,,,A12,,,,A12,,,,,,,,,,,,,,,,,,,,,,,,,A12,,,,,,,,,,,,,,,,,,,A12,,,A12,,A12,,,,
 Coventry City,,,M6,,M6,M1,,M6,M6,M6,M6,,M1,,,M5,M5,,,A14,,,,,,,,X,,,M1,,M1,,M6,M5,M6,M5,M1,,,,,,M1,,,,M1,M69,M1,,M6,,M1,M1,,,M1,,,M6,,,,,,,,,,M5,,,M6,M1,,,,M1,M6,M1,M1,,,,,M1,,,,,,,M1,,M6,M1,M6,M1,M6,M6,,M40
 Crawley Town,,,,,M40,M1,,M40,,,,,M1,M25,A23,M4,M4,,M1,,M4,,,,,,,,X,,M23,,,,,,,,,,,,,,,,,,,,,,,,M25,M25,,,,,,,,,M4,,,,,,,,,,,M25,,,,,,,,,,,,M25,,,,,,M4,,,M40,M25,M40,,,,,M25
 Crewe Alexandra,,,M6,,M6,,,M6,M6,M6,,,,,,,,,,,,M6,,,,,,,,X,,,,,,M5,M6,M5,,,,,,,,M62,,,,,,,,,,,,,,,,M6,,,,,,,,,,M5,,,M6,M40,,,,,,,,,,,,,,A500,,,,,,,M6,,M6,,M6,M6,,
 Crystal Palace,,,,,M40,M1,,M40,,,,,M1,,,M4,M4,,M1,,M4,,,,,M4,A12,M1,M23,,X,,,,,,,M4,,A2,,,,,,,A12,,M1,,,,,,M1,,,,,,,,,,M4,,,,,,,,,A3,,,,M4,,,,,,,M3,,,,,,,,M4,M4,,,M40,,M40,,,,,M25
 Derby County,,,,,,M1,,,,,,,M1,,,,,,,A14,,,,,,,,,,,,X,,,,M5,M6,,M1,M1,,,,,M1,,,,M1,M1,M1,,,,M1,M1,,,A38,,M1,M6,,,,M1,,,,,,M5,,,M6,M1,,M1,,M1,,,,,,,,M1,,,,M1,,,M1,,A38,M1,,M1,M6,,,
 Doncaster Rovers,,,M62,,,,,,M62,,M62,,,,,,,M62,,A1,,,,,,,,M1,,,,,X,,,M5,,,M1,,,,,,,,,,,M1,,A1,,,M1,M1,,M62,,,,,,,,M1,,M1,M1,M1,A1,,,,,M1,,M1,,,M62,,,,,,,,,,,M1,,,,,,M1,,,M62,,,M1
 Dundee,,A90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,M90,M90,,,,,,,,,,M90,,,,,,,,,,,,,,,,,,,,,,,,,A9,,,,,,,A90,,,,,,,,,,,,,,,,,,
 Everton,,,,,M6,,,M6,,,,,,,,,,,,,,M6,,,,,,M6,,,,,,,X,M5,,,,,,,,,,M62,,,,,,,,,,,,M62,,,,M6,,,,,,,,,,M5,M6,,,,,,,,,,,,,,,,,,,,,,,,M6,,M6,,M58,M6,,
 Exeter City,,,M5,,M5,M5,,M5,M5,M5,M5,,M5,M4,,M5,M5,M5,M5,M5,M5,,,,M4,M5,,M5,,M5,,M5,M5,,M5,X,,M5,M4,,,,,,,,,,,,,,,,,,,,,,M4,,,,M5,,,,,,,A38,,,,M4,,,,,,,,,,,,,,,,,,M5,,,M5,,M5,,,,,
 Fleetwood Town,,,,,M6,,,M6,,,,,,,,,,,M6,M6,,M6,,,,M6,,M6,,M6,,M6,,,,,X,,,,,,,,,M62,,,,,,,,,,,,,,,,,,,,,,,,,,,M6,,,,,,,,,,,,,,,,,M6,,,,,,,M6,,M6,,,M6,,
 Forest Green Rovers,M4,,,M4,M5,,,M5,,,,,,M4,,,,,,,M4,,,M4,M4,,,M5,,M5,M4,,,,,M5,,X,M4,,,,,,,,,,,,,,,,,,,,,,M4,M6,,,,,,,,,,M5,,,M6,M4,,M4,,,,,,,,,,,,,,,M4,,M4,,M5,M4,M5,,,M5,,M4
 Fulham,,,,,M40,M1,,M40,,,,M3,M1,,,M4,M4,,M1,,M4,,,,,M4,,M1,,,,M1,M1,,,M4,,M4,X,,,,,,,,A12,,M1,,,,,,,,,,,,,,,,M4,,,,,,,,,A3,,,,M4,,,,,,M40,M3,,,,,M40,,,M4,M4,,,M40,,M40,,,M40,,
 Gillingham,,,,,,,,,,,,,,,,M4,M4,,M1,,M4,,,A2,,,A12,,,,A2,M1,,,,,,,,X,,,,,,,A12,,,,A2,,,,M25,,,,,,A2,,,,M4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M25,,A2,,,,M25
 Grimsby Town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,M62,M62,,,,,,,,,,,,,,,,,,,,,,,M62,,,,,,,,,,,,,,,,,,,,,,,
 Harrogate Town,,,A59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,M1,,,,,M1,M1,M62,,M1,,,,,,,M1,,M1,M1,M1,,,,,,M1,,M1,,M1,M62,M1,M1,,M1,,,,,,,M1,,,,,M1,M1,M1,,,,,M1
 Heart of Midlothian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M90,,,,,,,,,X,,,,,,,,,,,M8,,,,,,,,,M8,,,,,,,,,,,,,,M8,,A9,,,,,,,M90,M8,,,,,,,,,,,,,,,,,
 Hibernian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M90,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,M8,,,,,,,,,,,,,,M8,,A9,,,,,,,M90,M8,,,,,,,,,,,,,,,,,
 Huddersfield Town,M1,,,M1,M6,,,M6,,,M62,,,M1,,,,,M1,,,M6,,,M1,,,M1,,,,M1,,,,,,,,,,,,,X,M62,,,,M1,M1,,,,M1,M1,M62,M62,M1,,M1,,,,,M1,,M1,M1,M1,,M5,,,,M1,,M1,,,M62,,,,,,,,,,,M1,,,M1,,M6,M1,M6,M1,,M6,,M1
 Hull City,,,M62,,,M62,,,M62,M62,M62,,M62,,,,,M62,,,,,,,,,,,,M62,,,,,M62,,M62,,,,,,,,M62,X,,,M62,,,,M62,,M1,M1,M62,M62,,,,M62,,,,M1,,,,,,,,,M62,M1,,M1,,,M62,,,,,,,,M62,,,M1,,,,M62,,M1,,,M62,,M62,
 Ipswich Town,A12,,,A12,,,,,,,,,,A12,,,,,,A14,M4,,,A12,,,A12,,,,A12,,,,,,,,A12,A12,,,,,,,X,,,,A12,,,,A12,,,,,,,,,,,,,,,,,,,,,A12,,,,,,,,,,,,A14,,,,,,,A12,,,A12,,A12,,,,
